,ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,bid_sz_00,bid_ct_00,ask_px_00,ask_sz_00,ask_ct_00,bid_px_01,bid_sz_01,bid_ct_01,ask_px_01,ask_sz_01,ask_ct_01,bid_px_02,bid_sz_02,bid_ct_02,ask_px_02,ask_sz_02,ask_ct_02,bid_px_03,bid_sz_03,bid_ct_03,ask_px_03,ask_sz_03,ask_ct_03,bid_px_04,bid_sz_04,bid_ct_04,ask_px_04,ask_sz_04,ask_ct_04,bid_px_05,bid_sz_05,bid_ct_05,ask_px_05,ask_sz_05,ask_ct_05,bid_px_06,bid_sz_06,bid_ct_06,ask_px_06,ask_sz_06,ask_ct_06,bid_px_07,bid_sz_07,bid_ct_07,ask_px_07,ask_sz_07,ask_ct_07,bid_px_08,bid_sz_08,bid_ct_08,ask_px_08,ask_sz_08,ask_ct_08,bid_px_09,bid_sz_09,bid_ct_09,ask_px_09,ask_sz_09,ask_ct_09,symbol,order_id
10,2025-07-29T20:12:00.888370000Z,2025-07-29T20:12:00.888370000Z,10,2,1108,S,N,0,,0,0,0,10,5.40,100,1,21.33,100,1,5.37,100,1,21.47,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
11,2025-07-29T20:12:00.888397000Z,2025-07-29T20:12:00.888397000Z,10,2,1108,S,N,0,,0,0,0,11,5.40,100,1,21.33,100,1,,0,0,21.47,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
12,2025-07-29T20:12:00.888429000Z,2025-07-29T20:12:00.888429000Z,10,2,1108,S,N,0,,0,0,0,12,9.79,100,1,21.33,100,1,5.40,100,1,21.47,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
13,2025-07-29T20:12:00.888453000Z,2025-07-29T20:12:00.888453000Z,10,2,1108,S,N,0,,0,0,0,13,9.79,100,1,21.33,100,1,,0,0,21.47,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
14,2025-07-29T20:12:00.888488000Z,2025-07-29T20:12:00.888488000Z,10,2,1108,S,N,0,,0,0,0,14,9.84,100,1,21.33,100,1,9.79,100,1,21.47,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
15,2025-07-29T20:12:00.888513000Z,2025-07-29T20:12:00.888513000Z,10,2,1108,S,N,0,,0,0,0,15,9.84,100,1,21.47,100,1,9.79,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
16,2025-07-29T20:12:00.888547000Z,2025-07-29T20:12:00.888547000Z,10,2,1108,S,N,0,,0,0,0,16,9.84,100,1,17.44,100,1,9.79,100,1,21.47,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
17,2025-07-29T20:12:00.888572000Z,2025-07-29T20:12:00.888572000Z,10,2,1108,S,N,0,,0,0,0,17,9.84,100,1,17.44,100,1,9.79,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
18,2025-07-29T20:12:00.888596000Z,2025-07-29T20:12:00.888596000Z,10,2,1108,S,N,0,,0,0,0,18,9.84,100,1,17.36,100,1,9.79,100,1,17.44,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
19,2025-07-29T20:12:00.888630000Z,2025-07-29T20:12:00.888630000Z,10,2,1108,S,N,0,,0,0,0,19,9.84,100,1,17.36,100,1,9.79,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
20,2025-07-29T20:12:00.888654000Z,2025-07-29T20:12:00.888654000Z,10,2,1108,S,N,0,,0,0,0,20,9.84,100,1,17.36,100,1,9.79,100,1,18.92,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
21,2025-07-29T20:12:00.888686000Z,2025-07-29T20:12:00.888686000Z,10,2,1108,S,N,0,,0,0,0,21,9.84,100,1,18.92,100,1,9.79,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
22,2025-07-29T20:12:00.888712000Z,2025-07-29T20:12:00.888712000Z,10,2,1108,S,N,0,,0,0,0,22,9.84,100,1,18.84,100,1,9.79,100,1,18.92,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
23,2025-07-29T20:12:00.888737000Z,2025-07-29T20:12:00.888737000Z,10,2,1108,S,N,0,,0,0,0,23,9.84,100,1,18.84,100,1,9.79,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
24,2025-07-29T20:12:00.888761000Z,2025-07-29T20:12:00.888761000Z,10,2,1108,S,N,0,,0,0,0,24,9.84,100,1,18.84,100,1,9.79,100,1,20.62,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
25,2025-07-29T20:12:00.888785000Z,2025-07-29T20:12:00.888785000Z,10,2,1108,S,N,0,,0,0,0,25,9.84,100,1,20.62,100,1,9.79,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
26,2025-07-29T20:12:00.888809000Z,2025-07-29T20:12:00.888809000Z,10,2,1108,S,N,0,,0,0,0,26,9.84,100,1,20.53,100,1,9.79,100,1,20.62,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
27,2025-07-29T20:12:00.888834000Z,2025-07-29T20:12:00.888834000Z,10,2,1108,S,N,0,,0,0,0,27,9.84,100,1,20.53,100,1,9.79,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
28,2025-07-29T20:12:00.888858000Z,2025-07-29T20:12:00.888858000Z,10,2,1108,S,N,0,,0,0,0,28,9.84,100,1,20.53,100,1,9.79,100,1,21.47,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
29,2025-07-29T20:12:00.888882000Z,2025-07-29T20:12:00.888882000Z,10,2,1108,S,N,0,,0,0,0,29,9.84,100,1,21.47,100,1,9.79,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
30,2025-07-29T20:12:00.888915000Z,2025-07-29T20:12:00.888915000Z,10,2,1108,S,N,0,,0,0,0,30,9.84,100,1,21.47,200,2,9.79,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
31,2025-07-29T20:12:00.888939000Z,2025-07-29T20:12:00.888939000Z,10,2,1108,S,N,0,,0,0,0,31,9.84,100,1,21.47,100,1,9.79,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
32,2025-07-29T20:12:00.888962000Z,2025-07-29T20:12:00.888962000Z,10,2,1108,S,N,0,,0,0,0,32,9.84,100,1,17.44,100,1,9.79,100,1,21.47,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
33,2025-07-29T20:12:00.888987000Z,2025-07-29T20:12:00.888987000Z,10,2,1108,S,N,0,,0,0,0,33,9.84,100,1,17.44,100,1,9.79,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
34,2025-07-29T20:12:00.889011000Z,2025-07-29T20:12:00.889011000Z,10,2,1108,S,N,0,,0,0,0,34,9.84,100,1,17.36,100,1,9.79,100,1,17.44,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
35,2025-07-29T20:12:00.889035000Z,2025-07-29T20:12:00.889035000Z,10,2,1108,S,N,0,,0,0,0,35,9.84,100,1,17.36,100,1,,0,0,17.44,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
36,2025-07-29T20:12:00.889060000Z,2025-07-29T20:12:00.889060000Z,10,2,1108,S,N,0,,0,0,0,36,9.84,100,1,17.36,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
37,2025-07-29T20:12:00.889083000Z,2025-07-29T20:12:00.889083000Z,10,2,1108,S,N,0,,0,0,0,37,9.84,100,1,17.36,100,1,9.79,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
38,2025-07-29T20:12:00.889107000Z,2025-07-29T20:12:00.889107000Z,10,2,1108,S,N,0,,0,0,0,38,9.84,100,1,17.36,100,1,9.79,100,1,17.44,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
39,2025-07-29T20:12:00.889131000Z,2025-07-29T20:12:00.889131000Z,10,2,1108,S,N,0,,0,0,0,39,9.84,100,1,17.36,100,1,9.79,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
40,2025-07-29T20:12:00.889155000Z,2025-07-29T20:12:00.889155000Z,10,2,1108,S,N,0,,0,0,0,40,9.84,100,1,17.36,100,1,9.79,100,1,17.93,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
41,2025-07-29T20:12:00.889183000Z,2025-07-29T20:12:00.889183000Z,10,2,1108,S,N,0,,0,0,0,41,9.84,100,1,17.36,100,1,9.79,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
42,2025-07-29T20:12:00.889207000Z,2025-07-29T20:12:00.889207000Z,10,2,1108,S,N,0,,0,0,0,42,9.84,100,1,17.36,100,1,9.79,100,1,17.44,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
43,2025-07-29T20:12:00.889231000Z,2025-07-29T20:12:00.889231000Z,10,2,1108,S,N,0,,0,0,0,43,9.84,100,1,17.44,100,1,9.79,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
44,2025-07-29T20:12:00.889254000Z,2025-07-29T20:12:00.889254000Z,10,2,1108,S,N,0,,0,0,0,44,9.84,100,1,17.44,100,1,9.79,100,1,17.85,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
45,2025-07-29T20:12:00.889278000Z,2025-07-29T20:12:00.889278000Z,10,2,1108,S,N,0,,0,0,0,45,9.84,100,1,17.44,100,1,9.79,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
46,2025-07-29T20:12:00.889300000Z,2025-07-29T20:12:00.889300000Z,10,2,1108,S,N,0,,0,0,0,46,9.84,100,1,17.36,100,1,9.79,100,1,17.44,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
47,2025-07-29T20:12:00.889324000Z,2025-07-29T20:12:00.889324000Z,10,2,1108,S,N,0,,0,0,0,47,9.79,100,1,17.36,100,1,,0,0,17.44,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
48,2025-07-29T20:12:00.889347000Z,2025-07-29T20:12:00.889347000Z,10,2,1108,S,N,0,,0,0,0,48,9.79,100,1,17.44,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
49,2025-07-29T20:12:00.889369000Z,2025-07-29T20:12:00.889369000Z,10,2,1108,S,N,0,,0,0,0,49,9.84,100,1,17.44,100,1,9.79,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
50,2025-07-29T20:12:00.889391000Z,2025-07-29T20:12:00.889391000Z,10,2,1108,S,N,0,,0,0,0,50,9.84,100,1,17.36,100,1,9.79,100,1,17.44,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
51,2025-07-29T20:12:00.889416000Z,2025-07-29T20:12:00.889416000Z,10,2,1108,S,N,0,,0,0,0,51,9.84,100,1,17.36,100,1,9.79,100,1,17.44,100,1,,0,0,20.48,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
52,2025-07-29T20:12:00.889442000Z,2025-07-29T20:12:00.889442000Z,10,2,1108,S,N,0,,0,0,0,52,9.84,100,1,17.36,100,1,9.79,100,1,17.44,100,1,7.74,100,1,20.48,100,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
53,2025-07-29T20:12:00.889469000Z,2025-07-29T20:12:00.889469000Z,10,2,1108,S,N,0,,0,0,0,53,9.84,100,1,17.36,100,1,9.79,100,1,17.44,100,1,7.74,100,1,20.48,200,2,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
54,2025-07-29T20:12:00.889494000Z,2025-07-29T20:12:00.889494000Z,10,2,1108,S,N,0,,0,0,0,54,9.84,100,1,17.36,100,1,9.79,100,1,17.44,100,1,7.74,200,2,20.48,200,2,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
55,2025-07-29T20:12:00.889520000Z,2025-07-29T20:12:00.889520000Z,10,2,1108,S,N,0,,0,0,0,55,9.84,100,1,17.36,100,1,9.79,100,1,17.44,100,1,7.74,200,2,20.48,300,3,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
56,2025-07-29T20:12:00.889545000Z,2025-07-29T20:12:00.889545000Z,10,2,1108,S,N,0,,0,0,0,56,9.84,100,1,17.36,100,1,9.79,100,1,17.44,100,1,7.74,300,3,20.48,300,3,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
57,2025-07-29T20:12:00.889571000Z,2025-07-29T20:12:00.889571000Z,10,2,1108,S,N,0,,0,0,0,57,9.84,100,1,17.36,100,1,9.79,100,1,20.48,300,3,7.74,300,3,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
58,2025-07-29T20:12:00.889597000Z,2025-07-29T20:12:00.889597000Z,10,2,1108,S,N,0,,0,0,0,58,9.84,100,1,17.36,100,1,7.74,300,3,20.48,300,3,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
59,2025-07-29T20:12:00.889628000Z,2025-07-29T20:12:00.889628000Z,10,2,1108,S,N,0,,0,0,0,59,9.84,100,1,20.48,300,3,7.74,300,3,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
60,2025-07-29T20:12:00.889650000Z,2025-07-29T20:12:00.889650000Z,10,2,1108,S,N,0,,0,0,0,60,7.74,300,3,20.48,300,3,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
61,2025-07-29T20:12:00.889671000Z,2025-07-29T20:12:00.889671000Z,10,2,1108,S,N,0,,0,0,0,61,7.74,400,4,20.48,300,3,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
62,2025-07-29T20:12:00.889691000Z,2025-07-29T20:12:00.889691000Z,10,2,1108,S,N,0,,0,0,0,62,7.74,400,4,20.48,400,4,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
63,2025-07-29T20:12:00.889810000Z,2025-07-29T20:12:00.889810000Z,10,2,1108,S,N,0,,0,0,0,63,7.74,500,5,20.48,400,4,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
64,2025-07-29T20:12:00.889831000Z,2025-07-29T20:12:00.889831000Z,10,2,1108,S,N,0,,0,0,0,64,7.74,500,5,20.48,500,5,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
65,2025-07-29T20:12:00.889865000Z,2025-07-29T20:12:00.889865000Z,10,2,1108,S,N,0,,0,0,0,65,8.74,100,1,20.48,500,5,7.74,500,5,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
66,2025-07-29T20:12:00.889899000Z,2025-07-29T20:12:00.889899000Z,10,2,1108,S,N,0,,0,0,0,66,8.74,100,1,18.35,100,1,7.74,500,5,20.48,500,5,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
67,2025-07-29T20:12:00.889927000Z,2025-07-29T20:12:00.889927000Z,10,2,1108,S,N,0,,0,0,0,67,8.74,100,1,18.24,100,1,7.74,500,5,18.35,100,1,,0,0,20.48,500,5,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
68,2025-07-29T20:12:00.889950000Z,2025-07-29T20:12:00.889950000Z,10,2,1108,S,N,0,,0,0,0,68,9.24,100,1,18.24,100,1,8.74,100,1,18.35,100,1,7.74,500,5,20.48,500,5,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
69,2025-07-29T20:12:00.889974000Z,2025-07-29T20:12:00.889974000Z,10,2,1108,S,N,0,,0,0,0,69,9.24,100,1,18.35,100,1,8.74,100,1,20.48,500,5,7.74,500,5,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
70,2025-07-29T20:12:00.889997000Z,2025-07-29T20:12:00.889997000Z,10,2,1108,S,N,0,,0,0,0,70,8.74,100,1,18.35,100,1,7.74,500,5,20.48,500,5,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
71,2025-07-29T20:12:00.890020000Z,2025-07-29T20:12:00.890020000Z,10,2,1108,S,N,0,,0,0,0,71,7.74,500,5,18.35,100,1,,0,0,20.48,500,5,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,ARL,0
